
for blocksize = 16 
Dimension       Time    Gflop/s       GB/s        Error
        16   1.665845   1.200594  19.209503 0.000000e+00
        64   2.129487   0.939268  15.028286 3.776222e-09
       112   2.302458   0.868905  13.902480 7.457857e-10
       160   2.410791   0.832523  13.320376 1.091394e-10
       208   2.403017   0.838844  13.421504 6.639311e-11
       256   2.786830   0.722422  11.558746 1.682565e-11
       304   2.442345   0.828221  13.251537 1.045919e-11
       352   2.768148   0.724764  11.596222 5.229595e-12
       400   3.195110   0.640979  10.255672 3.410605e-12
       448   3.704558   0.582517   9.320278 2.046363e-12
       496   4.099703   0.535754   8.572059 1.364242e-12
       544   4.330789   0.520424   8.326791 1.364242e-12
       592   3.960311   0.523885   8.382157 7.958079e-13
       640   3.011709   0.696333  11.141327 5.684342e-13
       688   3.817231   0.682507  10.920107 4.547474e-13
       736   3.622146   0.660418  10.566683 4.547474e-13
       784   4.505252   0.641771  10.268342 4.547474e-13
       832   2.991676   0.770044  12.320699 2.842171e-13
       880   3.702509   0.736227  11.779637 2.842171e-13
       928   3.747070   0.853124  13.649983 3.410605e-13
       976   4.606838   0.807247  12.915953 3.410605e-13
      1024  18.618823   0.115339   1.845430 1.705303e-13
      1072   2.884443   0.854186  13.666976 1.705303e-13
      1120   3.457246   0.812744  13.003903 1.705303e-13
      1168   3.612699   0.882118  14.113891 2.273737e-13
      1216   4.286561   0.838922  13.422758 2.273737e-13
      1264   5.003388   0.807248  12.915971 2.842171e-13
      1312   5.277828   0.855808  13.692926 2.273737e-13
      1360   6.127317   0.821063  13.137005 2.842171e-13
      1408   6.518170   0.856470  13.703523 2.842171e-13
      1456   6.836935   0.902927  14.446833 2.273737e-13
      1504   7.868452   0.864737  13.835798 2.842171e-13
      1552   8.323414   0.898263  14.372212 2.842171e-13
      1600   9.497586   0.862535  13.800559 2.842171e-13
      1648  10.068579   0.889065  14.225037 2.842171e-13
      1696  11.377985   0.857516  13.720254 2.842171e-13
      1744  12.064875   0.879319  14.069109 2.842171e-13
      1792  58.675245   0.196150   3.138406 2.842171e-13
      1840  14.347449   0.868378  13.894046 2.842171e-13
      1888  15.974453   0.842578  13.481244 2.842171e-13
      1936  16.115320   0.900549  14.408777 3.410605e-13
      1984  17.912710   0.871954  13.951268 3.410605e-13

 
for blocksize = 40, it bahaves a little better than 16, and exceed this will cause performance to drop for large dimension.0 
Dimension       Time    Gflop/s       GB/s        Error
        40   1.675716   1.193596  19.097537 1.658918e-09
        80   1.913659   1.045587  16.729385 3.179593e-09
       120   2.269635   0.881650  14.106400 5.238689e-10
       160   2.420267   0.829264  13.268220 1.200533e-10
       200   2.353352   0.856650  13.706404 7.730705e-11
       240   2.388282   0.845086  13.521380 3.228706e-11
       280   2.384247   0.847053  13.552850 1.546141e-11
       320   2.578672   0.787853  12.605655 7.275958e-12
       360   2.911273   0.705143  11.282291 5.002221e-12
       400   3.181492   0.643723  10.299570 3.183231e-12
       440   3.449793   0.592620   9.481917 1.818989e-12
       480   3.989235   0.554452   8.871236 1.591616e-12
       520   4.259559   0.528160   8.450558 1.364242e-12
       560   3.967981   0.531099   8.497588 1.023182e-12
       600   2.844047   0.759481  12.151699 6.821210e-13
       640   2.986357   0.702244  11.235906 5.684342e-13
       680   4.750894   0.529470   8.471520 5.684342e-13
       720   3.315981   0.675362  10.805796 4.547474e-13
       760   4.001317   0.658247  10.531955 4.547474e-13
       800   3.181518   0.643718  10.299487 2.842171e-13
       840   3.743830   0.633260  10.132153 2.842171e-13
       880   3.667941   0.743166  11.890651 2.842171e-13
       920   4.325314   0.720122  11.521947 3.410605e-13
       960   5.060340   0.699349  11.189586 2.842171e-13
      1000   5.023592   0.796243  12.739887 3.410605e-13
      1040   2.934673   0.766603  12.265641 1.705303e-13
      1080   3.380678   0.745242  11.923874 2.273737e-13
      1120   3.423523   0.820750  13.131998 2.273737e-13
      1160   3.934397   0.793461  12.695382 2.273737e-13
      1200   4.500260   0.767956  12.287290 1.705303e-13
      1240   4.594082   0.830035  13.280556 2.273737e-13
      1280  21.150908   0.198304   3.172860 2.273737e-13
      1320   5.354121   0.859139  13.746230 2.273737e-13
      1360   6.055642   0.830781  13.292496 2.842171e-13
      1400   6.250532   0.878005  14.048084 2.842171e-13
      1440   7.028249   0.849709  13.595348 2.273737e-13
      1480   7.261396   0.892884  14.286144 2.273737e-13
      1520   8.142745   0.862561  13.800980 2.842171e-13
      1560   8.436965   0.899948  14.399172 2.842171e-13
      1600   9.418467   0.869781  13.916489 2.842171e-13
      1640   9.751645   0.904656  14.474502 3.410605e-13
      1680  10.823072   0.876208  14.019331 2.842171e-13
      1720  11.247608   0.904805  14.476885 2.842171e-13
      1760  12.437496   0.876668  14.026685 3.410605e-13
      1800  12.937859   0.901540  14.424643 2.842171e-13
      1840  14.218254   0.876268  14.020295 2.842171e-13
      1880  14.808288   0.897426  14.358817 2.842171e-13
      1920  23.593778   0.599979   9.599667 2.842171e-13
      1960  16.879182   0.892168  14.274693 2.842171e-13
when using openMp and blocksize = 40, it became much faster and the Error decreases for some reason:
Dimension       Time    Gflop/s       GB/s        Error
        40   5.838115   0.342598   5.481572 0.000000e+00
        80   1.708061   1.171443  18.743088 0.000000e+00
       120   1.453302   1.376881  22.030097 0.000000e+00
       160   1.137779   1.763999  28.223978 0.000000e+00
       200   0.722411   2.790656  44.650503 0.000000e+00
       240   0.643379   3.137036  50.192569 0.000000e+00
       280   0.508500   3.971646  63.546339 0.000000e+00
       320   0.632762   3.210714  51.371417 0.000000e+00
       360   0.454092   4.520807  72.332919 0.000000e+00
       400   0.415937   4.923820  78.781125 0.000000e+00
       440   0.375428   5.445557  87.128912 0.000000e+00
       480   0.416503   5.310502  84.968038 0.000000e+00
       520   0.385367   5.837880  93.406077 0.000000e+00
       560   0.345190   6.105018  97.680291 0.000000e+00
       600   0.247293   8.734572 139.753149 0.000000e+00
       640   0.791387   2.649972  42.399546 0.000000e+00
       680   0.269667   9.328000 149.248000 0.000000e+00
       720   0.236433   9.471993 151.551885 0.000000e+00
       760   0.217810  12.092472 193.479546 0.000000e+00
       800   0.189403  10.812928 173.006843 0.000000e+00
       840   0.198770  11.927441 190.839059 0.000000e+00
       880   0.222375  12.258085 196.129363 0.000000e+00
       920   0.235381  13.232803 211.724856 0.000000e+00
       960   0.358129   9.881759 158.108146 0.000000e+00
      1000   0.331099  12.080966 193.295461 0.000000e+00
      1040   0.173470  12.968994 207.503896 0.000000e+00
      1080   0.168539  14.948602 239.177630 0.000000e+00
      1120   0.207045  13.571247 217.139951 0.000000e+00
      1160   0.187519  16.647892 266.366279 0.000000e+00
      1200   0.216239  15.982352 255.717630 0.000000e+00
      1240   0.254246  14.998270 239.972323 0.000000e+00
      1280   1.619253   2.590272  41.444348 0.000000e+00
      1320   0.234561  19.610855 313.773687 0.000000e+00
      1360   0.267345  18.818060 301.088959 0.000000e+00
      1400   0.283818  19.336338 309.381413 0.000000e+00
      1440   0.322947  18.492071 295.873133 0.000000e+00
      1480   0.310018  20.913546 334.616739 0.000000e+00
      1520   0.334353  21.006563 336.105000 0.000000e+00
      1560   0.343588  22.098668 353.578685 0.000000e+00
      1600   0.471593  17.370923 277.934771 0.000000e+00
      1640   0.383650  22.994640 367.914234 0.000000e+00
      1680   0.426848  22.216946 355.471143 0.000000e+00
      1720   0.431551  23.582125 377.314006 0.000000e+00
      1760   0.500248  21.796297 348.740747 0.000000e+00
      1800   0.476119  24.498085 391.969355 0.000000e+00
      1840   0.513815  24.248036 387.968573 0.000000e+00
      1880   0.506905  26.216614 419.465825 0.000000e+00
      1920   1.612134   8.780770 140.492325 0.000000e+00
      1960   0.561985  26.796210 428.739366 0.000000e+00




g++ -std=c++11 -O3 -march=native MMult1.cpp && ./a.out

